? (169.254.255.255) at (incomplete) on en0 [ethernet]
vlan1.phub.net.cable.rogers.com (192.168.0.1) at 68:b6:fc:f6:7:a2 on en0 ifscope [ethernet]
? (192.168.0.11) at 4c:7c:5f:9:fc:9b on en0 ifscope [ethernet]
? (192.168.0.11) at 4c:7c:5f:9:fc:9b on bridge0 ifscope [bridge]
? (192.168.0.12) at d0:52:a8:0:35:fa on en0 ifscope [ethernet]
? (192.168.0.15) at 0:17:88:9:e0:b4 on en0 ifscope [ethernet]
? (192.168.0.16) at 0:5:cd:49:71:79 on en0 ifscope [ethernet]
? (192.168.0.17) at 0:d0:b8:13:77:78 on en0 ifscope [ethernet]
? (192.168.0.19) at (incomplete) on en0 ifscope [ethernet]
? (192.168.0.20) at b8:27:eb:53:b8:1d on en0 ifscope [ethernet]
? (192.168.0.23) at 6c:40:8:8b:f4:30 on en0 ifscope permanent [ethernet]
? (192.168.0.24) at 6c:ad:f8:af:7f:db on en0 ifscope [ethernet]
? (192.168.0.255) at ff:ff:ff:ff:ff:ff on en0 ifscope [ethernet]
? (239.255.255.250) at 1:0:5e:7f:ff:fa on bridge0 ifscope permanent [ethernet]
